start	text
172400	и системы накопления энергии на крупных кристаллах.
176660	Стандартный причальный шлюз был установлен на задней переборке,
180300	что позволяло кораблю посещать космическую станцию CSP и стыковаться с другими космическими аппаратами.
187260	На нём также был установлен самый мощный компьютер,
191200	способный в режиме реального времени управлять Sparkle двигателем
194760	с частотой генерации в четверть Мегагерца,
198200	что требовало примерно восьмую часть его общей вычислительной мощности.
203260	Конечно же, это не была скорость света.
205420	Это даже не была скорость, которую стоило выражать процентами от скорости света.
211120	Но корабль был достаточно быстр, чтобы вместо шести месяцев полёта в одну сторону от Эквуса
216540	до планеты Буцефал при наиболее удачном их расположении,
220959	Амицитос после переоборудования мог добраться туда практически по прямой за срок
226299	лишь немногим превышающей сутки.
229260	В этом полёте экипаж Амицитос состоял из двух членов Эквистрийского космического агентства,
235799	двух членов космической программы Ченджлингов
238180	и одного члена консорциума более мелких агентств,
241380	которые, когда космическая гонка была завершена,
244540	просто влились в ту или иную из двух соперничавших организаций.
248680	Черри Берри, самый опытный в мире космический пилот,
251960	командовала полётом.
253640	Ченджлинг Драгонфлай
254920	исполняла обязанности главного инженера и офицера по компьютерным системам.
260279	Старлайт Глиммер,
261659	как один из двух конструкторов Спаркл-двигателя,
264480	присутствовала, чтобы лично убедиться,
266800	что с ним всё в порядке,
267880	совмещая это со второй должностью в команде офицера по науке.
273060	Фаербол, единственный в мире астронавт-дракон,
276240	был выбран третьим членом команды
278100	за его богатый опыт в проведении наружных работ,
281380	а также как специалист по выживанию в сложных условиях.
285040	И, наконец, последнее место заняла Спидфайр,
288219	единственный член экипажа,
290100	вообще не имеющий опыта космических полётов.
292680	Она заняла это место как единственный член ЭСА в Лас-Пегасусе,
297080	доступный в тот момент для многодневного полёта
299960	вне околопланетного пространства Эквуса.
302800	Запуск с помощью обычных ракет,
304700	пристыкованных к кораблю,
306219	прошёл безупречно,
307640	так же как и стыковка с космической станцией Си-Эспи
310820	для проверки работоспособности нового стыковочного узла.
315520	После краткого визита на станцию
317380	корабль отстыковался,
319599	использовал свои магические двигатели,
321560	чтобы отойти от станции,
323140	и, выждав, пока орбита не выведет его на прямую видимость
326620	с далёкой красной точкой буцефалом,
329460	активировал свой спаркл-двигатель
331440	и унёсся туда размытым потоком магического света.
336099	17 часов.
337440	Всё шло хорошо.
339060	Привод телепортировал массивный корабль
341080	и его команду через межпланетную пустоту
343460	по 4 метра за раз.
345500	250 тысяч раз в секунду.
347460	Экипаж ел, спал, просыпался и снова ел,
351820	по очереди дежуря на случай,
353719	если что-то пойдёт не так,
355260	но ничего не происходило.
357539	А потом произошло.
359280	Полёт должен был быть совершенно безопасным.
362140	Спаркл-двигатель фактически не изменял
364280	физического импульса корабля,
366240	между каждой телепортацией
367740	он продолжал двигаться с орбитальной скоростью,
370179	что ограничивало любой потенциальный ущерб
372700	от космической пыли и микрометеоритов.
374740	В качестве второй ступени защиты
377340	стандартное, в общем-то,
379240	заклинание телепортации,
380980	используемое двигателем,
382680	содержало защитные протоколы,
384300	которые давали гарантию,
385620	что место назначения было пустым.
387800	Таким образом, избегая либо столкновений,
390460	что само по себе было плохо,
392460	либо наложение двух объектов
394140	в одной и той же точке пространства-времени,
396420	что было многократно хуже.
399200	Заклинание автоматически смещало корабль
401560	на достаточное расстояние,
403080	чтобы избежать столкновения.
405300	К сожалению, и у самого корабля,
407359	и у спаркл-двигателя,
408820	приводящего его в движение,
410719	было три недостатка,
412020	один из которых должен был быть найден
413820	конструкторами двигателя.
415800	Другой никто не мог бы предсказать
417500	до того, как он проявился,
419280	и с последним никто в любом случае
421080	ничего не мог поделать.
423640	Первым недостатком было то,
425039	что хоть заклинание,
426880	изначально используемое единорогами
429120	и аликорнами ограничивало свое действие
432400	лишь тремя пространственными координатами.
434840	Для аварийного смещения это ограничение
437060	было случайно удалено
438260	из матрицы заклинаний двигателя.
441080	Вторым недостатком спаркл-двигателя,
443460	да и фактически почти всех остальных
445280	энергетических систем на переоборудованном корабле,
447800	было то, что они все зависели
449660	от параметров физики и метафизики
451900	вселенной Эквуса,
453620	где уровень магии был очень высок.
455520	Никто даже не задумался,
458020	как они будут функционировать,
459440	если эти параметры внезапно изменятся.
462520	И, наконец, третьим недостатком
464340	являлось то,
465780	что все планы действий
467219	в чрезвычайных ситуациях
468760	для корабля и экипажа
470180	в космическом полете
471380	с самого начала космической гонки
473719	опирались на мгновенную
475039	и непрерывную связь с Эквусом,
477080	обеспечиваемую заклинанием телеприсутствия,
479900	установленным на всех без исключения кораблях.
482880	Микрометеорит размером с крупинку
484640	с песчаного пляжа
485800	оказался на траектории полета Амицитос.
488880	Заклинание телепортации
490219	спаркл двигателя
491280	автоматически сместило
492800	вектор перемещения корабля,
494620	чтобы избежать столкновения.
496539	И все покатилось в тартар.
498979	Амицитос.
500180	Полет третьего дня миссии.
501979	День миссии второй.
503840	Голова Спитфайр закружилась,
505479	когда Амицитос дернулся,
507360	словно жеребец,
508599	укушенный шершнем,
509940	и тут же почти все огни
511180	на мостике погасли вместе с тремя четвертями контрольных дисплеев.
515419	Она двигалась на полном автомате,
517760	когда услышала команду надеть скафандры,
520240	подплыла к шкафу для хранения костюмов,
522400	расположившемуся вдоль задней стены,
524680	вытащила свой из системы подзарядки
526640	и скользнула в него.
529060	Тренировка за тренировкой
530420	на Земле позволила всем им перейти
532840	от повседневной формы
534200	к надетому и наддутому скафандру
536300	менее чем за минуту.
537500	Даже в этих самых дезориентирующих условиях,
540400	что ученые могли бы себе вообразить.
543160	Скафандр наддут.
545460	Как обычно,
546140	Драгонфлай была первой,
547820	кто доложил об окончании.
549820	На тренировках Спитфайр
551120	всегда считала чейнджлингов мошенниками,
554040	не чурающимися грязных приемчиков,
556240	чтобы быть первыми.
557700	Но теперь ее больше интересовало то,
559960	что только что произошло с кораблем.
562660	Скафандр наддут.
564360	Это был фаербол-дракон.
565780	Этому точно помогало наличие
567800	больших пальцев на лапах.
569579	Скафандр наддут.
571800	Черри Берри помог опыт.
574040	В конце концов,
575199	это была единственная кобыла,
577079	которая приземлялась на своем корабле
578980	на двух разных небесных телах,
581439	помимо Эквуса.
583120	Скафандр наддут.
584800	А вот это уже ее собственный доклад,
586920	сделанный по привычке
588060	пронзительным голосом.
590420	Тьфу.
591520	Тьфу.
592240	Скафандр наддут.
595180	И это была Старлайт Глиммер,
597460	которая, как единорог,
598740	должна была управиться быстрее всех.
601340	Чрезвычайная ситуация.
603820	Способность Черри Берри
605080	вкладывать сталь в то,
606400	что обычно было скрипучим
607860	и безобидным голосом,
609420	не переставала удивлять Спитфайр.
611920	Она видела,
612660	как эта кобыла на земле паникует,
614740	как самая обычная пони,
616600	кричит,
617420	беспорядочно бегает,
619040	словом, абсолютно бесполезно.
620240	Но посади ее на корабль,
623020	и она становится известной
624220	кобылой-ракетоводителем
625520	с остальным взглядом и нервами.
628160	При любых других обстоятельствах,
630040	подумала Спитфайр,
631480	я была бы командиром.
633220	Как ни крути,
634400	но я ведь майор
635180	в эквестрийской армии,
636660	а с таким огромным опытом
637900	полетов и лидерства
638960	даже разговаривать было не о чем.
641680	И вот я здесь,
643140	самая старшая пони на корабле
644760	и единственный новичок.
646800	Даже Старлайт уже летала один раз.
648520	Поэтому мое правильное поведение
651120	сиди и молчи,
652520	покуда кто-то пострадает.
654520	От командира эскадрильи
655980	до полевого медика.
658120	Какое падение.
659819	Вокруг мостика
660699	зажглись аварийные лампочки,
663040	уменьшившие,
663900	но не устранившие мрак.
665800	Черри Берри
666439	вернулась на место командира,
668800	а Спитфайр уселась в кресло пилота.
671620	Название должностей
672780	вводили в заблуждение.
674699	На самом деле,
675400	кораблем управлял командир.
677459	Ну, до тех пор,
678560	пока ей не потребуется помощь,
680199	которую ей мог предоставить пилот.
682199	А пилот, тем временем,
683780	следил за показаниями
685060	и обращал внимание командира
686860	на все, что в этом нуждалось.
689240	«Балтимер,
690000	это амицитас»,
692000	сказала Черри,
693040	активируя гарнитуру.
694200	«У нас возникла проблема.
696280	Тишина.
697420	Балтимер,
698540	это амицитас.
700180	Отвечайте.
701580	Прием».
702580	«Ничего».
703520	«Хорстон,
704620	это амицитас.
706040	Вы меня слышите?»
707940	В ответ не было слышно
709100	даже статики.
710880	«Проклятие».
712280	Черри Берри
713000	извернулась на своем месте.
715200	«Старлайт?»
716420	«Фаерболл».
717640	«Проверьте корабль».
719260	«Я хочу знать,
720160	теряем ли мы воздух».
721360	Драгонфлай коснулась
723360	одного из дисплеев.
725140	«Давление в кабине
726320	остается стабильным
727380	на одной атмосфере, Черри»,
729320	сказала она.
730700	«Кристалл поддержания
731800	жизнеобеспечения
732860	работает в штатном режиме.
735160	В любом случае
735880	проверить корабль.
737400	Фаерболл, возможно,
738380	тебе придется выйти наружу.
740020	Поэтому будь готов».
742000	«Спитфайр,
742960	продолжай пытаться
743840	связаться с домом.
745400	Драгонфлай,
746420	мне нужна диагностика
747500	матрицы телеприсутствия».
749820	Когда Старлайт
750660	и Фаерболл
751360	шли проверять двигатели,
753040	Спитфайр сосредоточила
754260	свое внимание
754900	на повторяющихся вызовах
756339	на Землю.
757400	Сначала через систему
758500	телеприсутствия,
760120	а затем через резервное радио.
762660	«Балтимэр».
763780	«Это Амицитос».
765660	«Проверка связи».
767780	«Балтимэр».
768660	«Это Амицитос».
771040	«Проверка связи».
772800	«Балтимэр».
774120	«Проверяю связь Амицитос
775839	на резервной волне».
777660	«Подожди».
778660	Она замолчала,
781040	затем проверила радио
782319	по всем предустановленным
783560	настройкам частоты,
785079	чтобы проверить то,
786120	что она заподозрила.
788040	«Командир?»
789280	«Я вообще не слышу
790160	ни одного спутника
791040	из сети Эссе.
792459	Ни единого».
793780	«Думаешь,
794579	мы потеряли антенну?»
796040	спросила Черри Берри.
798060	«Индикатор зеленый»,
799620	ответила Спитфайр.
800819	«И я получаю
801780	все виды статики.
803420	Просто нет сигналов
804520	со спутников».
804900	Драгонфлай выглянула
807439	из-под пульта управления,
809060	закрывая панель,
809980	в которую она
810540	только что смотрела.
812319	«Кристалл телеприсутствия
813959	не поврежден»,
815140	сказала она.
816260	«Но в нем нет энергии.
818100	Разве заклинание
819020	не должно продолжать работать,
820819	пока хоть одна из сторон
821939	получает ману?»
823439	спросила Черри Берри.
825360	«Именно так»,
826800	кивнула Драгонфлай,
828540	тихо шипя.
829660	«Мне действительно
830420	не нравится все это».
831900	Двигательный отсек
833579	вызывает Спитфайр.
835220	Раздался в наушниках
836319	голос Фаербола.
837939	«Срочно нужна
838660	медицинская помощь».
840240	Спитфайр в машинное отделение
841920	для оказания
842640	срочной медицинской помощи.
845280	Прежде чем Спитфайр
846480	успела сделать что-то большее,
848600	чем просто отстегнуть ремни,
850680	Старлайт Глиммер
851660	задыхающимся голосом
852920	проворчала.
854100	«Отставить это.
856079	Со мной все в порядке».
858120	Драгонфлай,
858860	«Ты пыталась использовать
860460	какую-нибудь магию
861420	с тех пор, как...»
863640	«Это...»
865180	«Случилось?»
866780	«Нет, не пробовала».
868160	«И не надо.
869240	Я тут получила
869980	небольшое магическое истощение,
872080	попытавшись запустить
873100	три заклинания разом».
874860	«Командир?»
876860	«Да?»
877600	спросила Черри Берри.
878920	«Я здесь».
880620	«У нас серьезные проблемы».
882600	Голос Старлайт Глиммер
883800	стал немного увереннее,
885260	когда она продолжила.
886280	«Кристалл двигателя на вид целый,
889140	но полное сканирование
890280	прервалось прежде,
891620	чем я смогла убедиться,
893100	что он не поврежден».
895000	«Электроника и источники питания
896920	тоже выглядят целыми и невредимыми.
899620	Но все кристаллы-накопители
901160	разрушены.
902459	Даже хуже, чем разрушены,
903880	рассыпались в пыль».
905280	«Тут сзади
906540	пара болтов плавает в воздухе»,
909020	добавил Фаербол.
910640	«Я вижу некоторые вмятины в стенах.
913640	Тот взрыв, который мы почувствовали,
915300	очевидно был взрывом всех этих
917240	драгоценных камней.
918680	Потом раздалось низкое рычание,
920839	и дракон добавил,
922160	«Я бы мог их есть дня два,
924079	не меньше».
925300	«Ладно, тогда распаковывайте запчасти»,
929060	приказала Черри Берри.
930740	«А у нас их нет»,
932719	простонала Старлайт.
934719	«Запасы по мощности
935800	были настолько избыточны,
937699	что мы с Твайлайт подумали,
939260	что все будет в порядке,
940839	даже если некоторые из кристаллов
942440	перегорят или даже взорвутся.
944820	Мы никогда не могли предположить,
946380	что они взорвутся все одновременно».
948980	Черри Берри застонала.
951660	Спитфайр была удивлена тем,
953340	как хорошо этот стон
954440	заставил ее себя почувствовать.
957020	Она ожидала хныканье.
958920	«Хорошо, так что же у нас осталось?»
961380	«Две резервные манобатареи
963600	для систем мостика»,
965200	сказала Драгонфлай.
966860	«Восемь манобатарей
967440	в блоках маневровых двигателей
969680	и батареи в комплексах
971460	подруливающих устройств».
973380	«А как насчет главных двигателей?»
975960	спросила Черри Берри.
977660	«Они были запитаны
979160	от энергоблока основного привода»,
981380	простонала Старлайт Глиммер.
983500	«Можешь считать их мертвыми».
985380	«Замечательно»,
987380	проворчала Черри Берри.
989100	«Ну, мы что-нибудь придумаем».
991380	«Возвращайтесь на место
992420	и пристегнитесь».
993660	Она откинулась на спинку кресла,
995360	сделав пару глубоких вдохов.
997780	«По крайней мере,
998520	у нас еще есть воздух и вода,
1000320	так что хоть что-то
1001280	все еще работает».
1002680	«И у нас еще есть пища
1003780	на 30 дней».
1004860	«Даже больше»,
1006320	сказала Спитфайр.
1008140	Амицитос изначально
1009300	был кораблем для экипажа
1010620	из семи пони.
1012000	«У нас есть 30-дневный рацион
1013860	на фаерболы
1014660	и шесть 30-дневных рационов
1016840	для пони».
1018360	«А нас всего четверо».
1021060	«Трое»,
1022020	поправила Драгонфлай.
1023200	«Я Чейнджлинг,
1025100	а не пони.
1026180	Мне не надо есть нормальную еду.
1028560	Во всяком случае,
1029819	много мне ее точно не надо».
1031960	«Прекрасно»,
1033540	сказала Черри Берри.
1035080	«Но фаербол ведь может
1036460	есть и нашу еду,
1037800	если будет нужно.
1039140	Таким образом,
1039880	мы можем и подождать
1040840	некоторое время до спасения».
1043040	«Как обстоят дела
1043940	с нашими другими
1044760	расходными материалами?
1046380	Подруливающие устройства
1047540	показывают 100% уровня маны
1049340	и стабильны»,
1050540	сообщила Драгонфлай.
1051620	«Электричество...»
1053959	«Эээ...»
1055320	«Чейнджлинг»
1056020	нажала на тумблер,
1057560	и где-то в середине корабля
1059080	что-то заскрипело.
1060620	«Резервные солнечные батареи
1062280	разворачиваются»,
1063520	пояснила она.
1065199	Аккумуляторы разрядились
1066399	буквально мгновенно.
1068219	Двери на мостик открылись,
1069580	чтобы впустить фаербола,
1071020	который одной лапой
1071899	проталкивал себя через люк,
1073520	а другой тащил за собой
1074620	ослабевшую Старлайт.
1076760	Спитфайр сразу поднялась
1078080	с кресла,
1079020	игнорируя протесты Старлайт
1080600	и помогая фаерболу
1082040	уложить ее в принадлежащее ей кресло.
1085219	«Сиди и не дрыгайся»,
1087419	сказала она,
1088659	ныряя к кабинету
1089740	неотложной помощи
1090840	за своими основными инструментами.
1093240	«Не бери в голову»,
1094699	слабо сказала Старлайт.
1096419	«В любом случае,
1097780	я вам пока не помощник
1099159	в большинстве дел.
1100600	Мне просто нужно
1101360	немного времени,
1102659	чтобы восстановить свою магию».
1104940	Спитфайр моргнула.
1106460	Она вовсе не была
1107180	близкой подругой ученицы
1108640	и коллеги Твайлайт Спаркл,
1110680	но даже она прекрасно знала,
1112560	что та одна из самых
1113800	могущественных единорогов
1115360	в Эквестрии
1116080	с почти бездонным
1117160	запасом магии.
1118800	Время ее восстановления
1119920	после сильнейших заклинаний
1121480	было столь мало,
1122900	что...
1123260	«Ну, пожалуй,
1124400	не успеешь и спросить,
1125920	который час».
1126760	«Командир»,
1128520	сказала Старлайт,
1129600	игнорируя незаданный вопрос,
1131460	«нам нужно немедленно
1132420	отключить все
1133160	несущественное
1133940	магическое оборудование.
1135720	Я думаю,
1136340	что мы по какой-то причине
1137540	находимся в пространстве
1138900	бедным магией».
1141220	«Хм, пожалуй, да»,
1143460	пробормотала Драгонфлай,
1145220	глядя на консоль.
1146560	«Это соответствует тому,
1148560	что я здесь вижу.
1150280	Магические батареи мостика
1151860	уже разряжены
1152820	примерно на треть,
1154220	так сделаем же это».
1156220	Cherry Berry,
1157320	Dragonfly и Spitfire
1158700	стали нажимать на выключатели,
1160780	деактивируя заклинания
1162020	телеприсутствия,
1163620	большую часть
1164300	оставшегося внутреннего освещения
1166220	и различные другие
1167540	маловажные системы,
1168820	которые делали жизнь
1169820	на корабле приятнее,
1171520	но не способствовали выживанию.
1173940	Наконец,
1174520	Драгонфлай сказала,
1175840	«Хорошо,
1177420	мы достаточно стабильны.
1179840	Теперь ничто не тянет магию,
1181340	кроме блока навигации
1182620	и систем управления.
1184460	Но заряд батарей
1185420	по-прежнему не идет».
1187140	«Это невозможно»,
1188740	раздраженно сказала Черри Берри.
1191100	«Магия пронизывает вселенную
1193020	от края до края.
1194540	Она сильнее там,
1195560	где жизнь бьет ключом.
1197020	Но и здесь мы должны получать
1198460	больше маны, чем нам надо,
1200280	чтобы справиться с этим».
1201900	Она ткнула копытом
1203020	в единственный светящийся
1204480	на панелях управления
1205600	прибор коричневый,
1207380	по большей части шар
1208620	на навигационном экране.
1210180	Слова
1211640	по большей части коричневый
1213600	эхом прокатились
1214820	в голове
1215360	Спитфайр,
1216680	ища хоть что-то,
1217920	к чему можно было бы
1218940	прицепиться.
1220340	«Мана пронизывает вселенную
1221960	вокруг Эквестрии»,
1223300	ответила
1223820	Старлайт Глиммер.
1225580	«Но вполне возможно,
1226700	что есть места,
1227960	более богатые магии
1229180	и магии,
1229900	обделенные».
1231600	«Но Буцефалл
1232500	не является
1233140	одним из таких мест»,
1234860	настаивала Черри Берри.
1236860	«Мы отправили
1237980	на его орбиту зонд!»
1239980	«Мы знаем,
1240400	что у него было
1240980	более чем достаточно
1242140	магии,
1242780	чтобы работали
1243380	заклинания телеприсутствия».
1245960	Слово «орбита»
1247360	эхом отозвалось
1248200	в голове Спитфайр,
1249660	снова ища что-то,
1250720	к чему можно было бы
1251700	пристать.
1253200	Буцефалл
1253840	находился сейчас
1254800	совершенно в другом месте
1256340	своей орбиты,
1257700	огрызнулась Старлайт Глиммер,
1259480	вернув себе
1259980	немного энергии.
1261460	«В этой вселенной
1262280	столько всего,
1263080	что мы просто не знаем,
1264240	что…»
1265540	Копыта Спитфайр
1266480	дотянулись до органов управления,
1268580	активируя двигатели ориентации
1270260	и медленно опуская
1271480	нос корабля.
1273020	Почти сразу же
1273980	что-то большое
1274740	и ржаво-красное
1275940	появилось в стеклах
1277060	носового обтекателя.
1279120	«Спитфайр,
1280160	что ты де…»
1281740	«Святая Селестия»,
1283640	выдохнула Черри Берри,
1285280	глядя сквозь стекло.
1286980	«Это же Буцефал!
1288900	Мы не должны быть
1289700	столь близко!»
1291360	Красная планета
1292380	почти целиком
1293180	заполняла окна.
1294100	Я заметила его на навигационном экране,
1297179	коротко сказала Спитфайр.
1299000	«Маркер движения планеты
1300379	находится в коричневом секторе.
1302580	Если бы мы все еще находились
1303980	на околосолнечной орбите,
1305800	как того следовало ожидать,
1307399	то он был бы голубым.
1308939	Так что я…»
1310659	«Это не Буцефал!»
1312320	закричала Старлайт
1313399	с ужасом в голосе.
1314959	«Вон те вулканы
1315820	не на своем месте!»
1317800	Драгонфлай наклонилась
1319139	и активировала систему
1320560	резервной картографии
1321740	и навигации.
1323640	Обычно расчетные
1324560	траектории курса
1325520	передавались с Земли,
1326980	но Амицитес был
1327920	первым эквестрийским кораблем,
1329660	на котором была
1330280	собственная дублирующая система.
1333300	Карта показала
1333980	одно Солнце
1334720	и одну планетарную орбиту,
1336680	которую компьютер
1337580	перерисовывал
1338640	несколько раз в секунду,
1340480	словно сомневаясь
1341340	в ее правильности.
1343340	Драгонфлай увеличила
1344640	карту до планетарного уровня.
1346860	«Определенно не Буцефал!»
1348780	сказала она.
1349440	«Александр пропал.
1351700	Зато тут есть два
1352620	близко вращающихся астероида.
1355260	И все!»
1356820	выдохнула она.
1358360	«И тут, по крайней мере,
1359800	11 спутников там,
1361380	где у нас должен быть
1362380	только один».
1363340	«Сейчас это не важно!»
1365680	простонала Черри.
1367260	Прогнозируемая траектория
1368620	показывала,
1369440	что корабль столкнется
1370540	с планетой
1371240	примерно через 40 минут.
1373920	«Старлайт,
1374980	есть ли способ подать
1376180	мощность с мостика
1377320	на главные двигатели?»
1379340	«Мы больше не в нашей
1380300	собственной солнечной системе!»
1382720	В ответ простонала Старлайт.
1384399	«Мы можем быть даже
1385700	не в одной с ней вселенной!»
1387760	«О, во что я вас всех втянула!»
1390340	«Оставайся со мной, Старлайт»,
1392220	сказала Черри Берри тоном,
1394100	который Спитфайр,
1395179	военную косточку,
1396639	просто не мог не восхищать.
1398399	«Работай над проблемой!»
1399700	«Можем ли мы подать
1401000	энергию на двигатели?»
1402639	Старлайт Глиммер
1403540	потратила пару секунд,
1405200	тяжело дыша,
1406260	делая при этом левым копытом
1407820	странные движения
1408940	вперед и назад.
1410220	Правильно.
1411080	Эээ...
1412300	Да.
1413340	Это займет около 10 минут.
1415620	Но обе батареи
1416540	при полном заряде
1417500	смогут привести двигатели
1418800	на полную мощность
1419879	в течение примерно 3 секунд.
1422180	Аккумуляторы ведь резервные.
1424320	Они предназначались
1425260	только для питания мостика
1426680	в аварийной ситуации,
1428240	а не для двигателей.
1430120	И у нас в них нет
1431080	ничего близкого
1431900	к полной зарядке,
1433320	закончила Черри Берри.
1435440	И мы потеряем
1436200	большую часть контроля
1437340	над кораблем,
1438420	если сделаем это.
1440560	Итак,
1441720	всё, что у нас осталось,
1443100	это система
1443740	маневровых двигателей.
1445680	Можем ли мы хотя бы
1446540	с них перебросить
1447600	энергию на мостик?
1449580	Потребуется выход
1450540	в открытый космос,
1451880	сказала стар Старлайт.
1453620	Этими двигателями
1454560	заменили аналогичные,
1456400	но с химическим питанием.
1458220	Но они остались
1458980	настолько же автономными,
1460280	как и прежние.
1462320	Хорошо.
1463460	Хорошая новость состоит в том,
1465100	что всё становится проще,
1466740	ответила Черри Берри
1467920	в лучших традициях
1469460	военного чёрного юмора.
1471680	Какая-то часть Спитфайр
1473000	даже нашла время задуматься,
1474899	а не носили ли когда-нибудь
1476139	в прошлом родители
1477060	этой земнопони
1477820	военный мундир?
1479620	Ладно.
1480620	Спитфайр,
1481700	следи за уровнями энергии
1483020	в двигателях.
1484220	Я хочу знать,
1484940	когда он упадёт
1485660	ниже 20%.
1486280	Это мой аварийный запас.
1489520	Мы собираемся смягчить
1490680	наш подход к планете
1491800	до такой степени,
1493340	что если нам повезёт,
1494620	то мы срикошетим от атмосферы
1496120	и вернёмся назад в космос.
1498280	Если же нам повезёт меньше,
1499980	мы совершим контролируемую посадку.
1502820	Это если нам вообще повезёт,
1505020	пробормотала Драгонфлай.
1507060	У нас сегодня явно плохой день.
1509740	Плохой день?
1510500	— спросил Фаербол,
1512080	не услышав начала фразы.
1514280	Ты что,
1515400	считаешь этот день плохим?
1517640	Да это ужаснейший день.
1520000	У нас неплохой день,
1521960	прорычала Черри Берри.
1523760	Я собираюсь посадить этот корабль,
1525680	и мы все будем спасены,
1527140	и всё у нас будет хорошо.
1529660	Спитфайр глубоко вздохнула
1531180	и медленно выдохнула.
1533840	С одной стороны,
1535180	Черри говорила
1535880	и делала всё правильно,
1537400	подавляя панику,
1538320	демонстрируя как можно больше уверенности
1540800	в сложившихся обстоятельствах
1542480	и решая проблему.
1544659	С другой стороны,
1546100	цифры не врут.
1547540	Планета,
1548419	не Буцефал,
1549480	да и особой разницей
1550540	это не играла планета,
1552340	станет могилой для корабля,
1553899	движущегося прямо в неё
1555220	с орбитальной скоростью
1556679	и лишь ускоряющегося
1558159	за счёт её гравитации.
1560060	Для спасения их жизни
1561139	понадобится,
1561820	как минимум,
1563300	чудо от самой Фауст.
1565820	Старлайт,
1566840	извлеки одну батарею
1568020	и верни мне контроль
1569040	над главными двигателями,
1570820	сказала Черри.
1572340	Даже несколько секунд
1573340	при слабом притяжении
1574480	гораздо лучше,
1575600	чем ничего,
1576520	и мы могли бы восстановить
1577720	немного энергии.
1579660	Фаербол.
1580760	Закрепишь там всё
1581639	как можно крепче.
1583320	Когда вернётесь назад,
1584440	то сразу же пристёгивайтесь.
1586379	Это будет очень жёсткая поездочка.
1589020	Спидфайр подтянула ремни
1590360	и кивнула в знак согласия.
1592500	Это действительно было
1593480	очень непросто,
1594820	и они все могли только надеяться,
1596360	что остановка в конце пути
1597820	не будет смертельно внезапной.
1601179	Запуск магических двигателей
1602719	в иной вселенной
1603679	вызвал непредсказуемые последствия.
1607000	Внизу перед кораблём,
1608439	который изо всех сил
1609639	пытался перевести
1610560	свою вертикальную скорость
1612080	в горизонтальную,
1613780	пыльная буря,
1615159	уже и так довольно мощная
1616340	по меркам скудной атмосферы
1617719	этого крошечного пустынного мира,
1619979	разрослась до титанических размеров,
1622240	угрожая крупнейшему на данный момент
1624240	искусственному сооружению на поверхности.
1627140	За миллионы миль отсюда,
1628760	на другой планете,
1630280	наблюдатели заметили это
1631540	внезапное и необъяснимое
1633160	изменение погоды
1634260	и предупредили обитателей сооружения,
1637140	чтобы они подготовились
1638160	к эвакуации как из него,
1640020	так и пои с планеты в целом.
1642560	Тем временем,
1643600	ничего не знавшая об этом,
1645100	пилот корабля
1645740	задействовала все приёмы,
1648280	которые выучила или изобрела
1649940	сама за десятки посадок
1651620	на разных аппаратах.
1653179	Она то предельно экономно
1654439	отрабатывала двигателями,
1656260	то нервно постукивала копытом,
1658280	ожидая, пока они медленно
1659580	восстановят заряд.
1661300	И благодаря то ли мастерству,
